,Team,#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
2021,Womens,03,"Nakai, JJ",25,31.6,.388,.389,.843,0.2,1.8,2.0,2.4,1.2,0.0,13.6
2021,Womens,15,"Rasheed, Khiarica",22,25.6,.481,.217,.645,2.5,4.5,7.0,1.0,0.5,0.2,13.3
2021,Womens,01,"Schenck, Regan",29,34.5,.477,.438,.731,1.5,5.3,6.8,5.1,1.0,0.0,11.4
2021,Womens,04,"Maio, Miki'ala",27,29.7,.436,.375,.875,0.9,2.1,3.0,2.1,1.4,0.1,10.9
2021,Womens,21,"Rodabaugh, Emily",29,28.6,.438,.376,.766,1.8,3.6,5.4,1.0,1.2,0.8,9.7
2021,Womens,11,"Bailey, Jacey",29,34.6,.374,.279,.675,1.3,4.6,6.0,1.8,1.5,0.4,9.4
2021,Womens,12,"Moran, Nyah",29,13.1,.372,.294,.615,0.7,1.1,1.8,0.7,0.7,0.2,4.4
2021,Womens,22,"Moran, Olivia",29,9.9,.470,.391,.692,1.0,0.8,1.8,0.3,0.4,0.0,3.6
2021,Womens,02,"Simmons, Ajai",16,3.1,.250,.111,.500,0.1,0.3,0.3,0.2,0.0,0.0,0.6
2021,Womens,24,"Ramesh, Sanjana",16,3.9,.333,.000,1.000,0.3,0.3,0.6,0.3,0.4,0.3,0.5
2021,Womens,50,"Bryant, Sentia",12,2.4,.500,.000,.125,0.3,0.8,1.0,0.2,0.0,0.0,0.3
2020,Womens,15,"Rasheed, Khiarica",31,27.2,.489,.472,.768,2.7,4.5,7.2,1.1,1.1,0.4,16.5
2020,Womens,11,"Bailey, Jacey",31,32.7,.408,.355,.679,1.0,5.5,6.5,1.6,1.2,0.2,14.0
2020,Womens,30,"Radford, Nina",31,28.8,.422,.408,.852,0.9,3.5,4.4,3.1,1.0,0.5,12.2
2020,Womens,20,"Orndoff, Lauren",31,27.7,.398,.320,.807,0.9,1.3,2.3,1.5,0.8,0.3,9.0
2020,Womens,03,"Malvar, Caitlin",31,33.9,.366,.284,.656,0.3,4.7,4.9,4.6,1.4,0.0,6.2
2020,Womens,01,"Schenck, Regan",30,21.2,.346,.263,.765,0.7,2.9,3.6,2.0,0.8,0.0,4.2
2020,Womens,33,"Carroll, Peyton",31,9.5,.412,1.000,.636,0.7,1.4,2.1,0.4,0.2,0.1,3.5
2020,Womens,04,"Gary, Morgan",31,8.8,.397,.400,.846,0.9,0.9,1.7,0.6,0.4,0.1,2.6
2020,Womens,25,"Lehew, Brianna",29,7.8,.385,.214,.417,0.4,1.6,2.0,0.2,0.2,0.4,2.0
2020,Womens,21,"Rodabaugh, Emily",22,5.0,.421,.316,.600,0.2,0.6,0.8,0.2,0.1,0.0,1.9
2020,Womens,42,"Rohrer, Molly",13,5.2,.450,1.000,.500,0.2,0.6,0.8,0.3,0.1,0.2,1.7
2020,Womens,02,"Simmons, Ajai",6,3.0,.250,.000,.750,0.0,0.5,0.5,0.3,0.0,0.0,0.8
2020,Womens,10,"Richards, Seneca",4,2.3,.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2020,Womens,24,"Ramesh, Sanjana",3,1.7,.000,.000,.000,0.3,0.3,0.7,0.0,0.0,0.0,0.0
2019,Womens,23,"Paplow, Kaleigh",30,36.3,.388,.317,.741,2.8,5.1,7.9,3.3,1.7,0.5,14.1
2019,Womens,15,"Rasheed, Khiarica",31,28.4,.441,.200,.725,2.4,3.9,6.3,1.6,0.7,0.5,12.8
2019,Womens,11,"Bailey, Jacey",31,30.2,.400,.318,.703,1.1,4.1,5.2,1.1,1.1,0.5,11.5
2019,Womens,20,"Orndoff, Lauren",14,30.9,.455,.425,.632,1.0,2.2,3.2,1.6,0.7,0.8,10.1
2019,Womens,01,"Schenck, Regan",31,28.6,.346,.299,.783,0.9,2.7,3.6,2.6,0.9,0.0,7.9
2019,Womens,33,"Carroll, Peyton",31,14.6,.458,.000,.744,0.6,2.3,2.9,0.7,0.2,0.2,6.7
2019,Womens,03,"Malvar, Caitlin",30,32.7,.353,.382,.700,0.3,4.4,4.7,3.4,1.1,0.1,6.5
2019,Womens,04,"Gary, Morgan",21,9.2,.385,.500,.733,1.0,1.3,2.2,0.3,0.3,0.0,3.0
2019,Womens,25,"Lehew, Brianna",26,10.8,.406,.286,.571,0.8,1.4,2.2,0.6,0.2,0.3,2.5
2019,Womens,21,"Tsingine, Tate",16,5.1,.292,.263,1.000,0.3,0.4,0.7,0.4,0.1,0.1,1.3
2019,Womens,05,"McCormick, Alize'",6,1.3,.500,.000,.000,0.0,0.2,0.2,0.2,0.0,0.0,0.3
2019,Womens,02,"Simmons, Ajai",1,2.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,Womens,11,"Lucero, Olivia",28,37.4,.437,.380,.862,0.9,4.6,5.4,4.6,1.2,0.2,17.2
2018,Womens,12,"McDavis, Kenna",29,33.5,.373,.347,.711,0.5,7.7,8.2,1.4,1.0,1.3,15.5
2018,Womens,23,"Paplow, Kaleigh",29,34.9,.447,.273,.688,3.0,4.4,7.4,3.3,1.3,0.2,11.0
2018,Womens,15,"Rasheed, Khiarica",30,22.4,.436,.333,.626,2.4,2.8,5.3,0.6,0.3,0.2,7.4
2018,Womens,20,"Orndoff, Lauren",28,26.3,.310,.212,.565,1.5,2.4,3.9,1.5,0.7,0.3,5.7
2018,Womens,33,"Carroll, Peyton",30,16.4,.419,.000,.727,0.8,2.5,3.3,0.5,0.0,0.3,5.3
